episode,reward
0,-7.488
100,-5.074
200,-4.644
300,-5.799
400,-5.592
500,-4.8645
600,-6.5755
700,-4.5895
800,-6.1545
900,-7.9475
1000,-7.7985
1100,-6.5015
1200,-6.991
1300,-7.8545
1400,-6.9395
1500,-8.31
1600,-7.448
1700,-8.257
1800,-7.8115
1900,-8.596
2000,-8.057
2100,-8.812
2200,-10.377
2300,-8.616
2400,-8.152
2500,-8.234
2600,-8.3315
2700,-9.8855
2800,-8.943
2900,-7.993
3000,-9.1325
3100,-8.9655
3200,-8.346
3300,-7.931
3400,-9.5805
3500,-8.0295
3600,-7.058
3700,-9.0565
3800,-7.59
3900,-8.5455
4000,-5.9105
4100,-7.65
4200,-8.515
4300,-6.0415
4400,-8.4235
4500,-6.416
4600,-8.4565
4700,-6.5795
4800,-7.668
4900,-6.8555
5000,-6.249
5100,-8.491
5200,-8.475
5300,-8.8085
5400,-8.369
5500,-7.122
5600,-7.64
5700,-8.1695
5800,-9.335
5900,-7.242
6000,-6.8715
6100,-9.269
6200,-6.8255
6300,-8.6325
6400,-9.3745
6500,-9.258
6600,-8.9995
6700,-8.1375
6800,-8.725
6900,-8.8515
7000,-6.732
7100,-10.3515
7200,-8.0245
7300,-7.172
7400,-8.2725
7500,-7.067
7600,-7.671
7700,-8.137
7800,-7.924
7900,-7.0685
8000,-7.8165
8100,-8.035
8200,-8.663
8300,-7.26
8400,-9.4475
8500,-9.474
8600,-9.933
8700,-8.942
8800,-10.8175
8900,-9.522
9000,-9.222
9100,-7.629
9200,-9.204
9300,-7.861
9400,-8.1495
9500,-9.651
9600,-10.841
9700,-9.6575
9800,-8.272
9900,-8.023
10000,-10.1905
10100,-8.8075
10200,-8.481
10300,-7.7325
10400,-9.778
10500,-9.7735
10600,-7.4545
10700,-7.636
10800,-8.037
10900,-7.797
11000,-8.7025
11100,-8.085
11200,-9.3305
11300,-6.6365
11400,-8.262
11500,-9.868
11600,-7.9965
11700,-9.0645
11800,-10.683
11900,-10.58
12000,-8.2465
12100,-8.315
12200,-9.765
12300,-9.1435
12400,-9.9875
12500,-9.0495
12600,-8.5965
12700,-9.113
12800,-8.698
12900,-8.826
13000,-10.091
13100,-10.4895
13200,-9.141
13300,-10.2695
13400,-8.97
13500,-9.456
13600,-11.329
13700,-10.54
13800,-8.4795
13900,-9.715
14000,-8.2875
14100,-9.5665
14200,-10.076
14300,-10.325
14400,-9.1845
14500,-11.415
14600,-8.1975
14700,-10.739
14800,-9.668
14900,-10.7505
15000,-8.712
15100,-9.9235
15200,-11.5525
15300,-9.4155
15400,-9.0355
15500,-9.339
15600,-7.065
15700,-10.125
15800,-9.184
15900,-9.4535
16000,-8.3165
16100,-10.324
16200,-11.9435
16300,-9.3105
16400,-10.198
16500,-7.769
16600,-9.684
16700,-11.1435
16800,-9.031
16900,-10.19
17000,-9.9835
17100,-10.1195
17200,-9.0775
17300,-9.9785
17400,-11.6305
17500,-9.993
17600,-9.4995
17700,-10.784
17800,-11.77
17900,-8.27
18000,-9.8975
18100,-9.2795
18200,-9.562
18300,-9.5955
18400,-11.284
18500,-9.4915
18600,-10.894
18700,-11.695
18800,-7.8515
18900,-7.673
19000,-11.361
19100,-11.8985
19200,-11.987
19300,-9.1925
19400,-8.9325
19500,-9.466
19600,-8.9795
19700,-10.4685
19800,-9.824
19900,-8.785
20000,-9.117
20100,-9.057
20200,-7.875
20300,-8.9575
20400,-6.9935
20500,-11.189
20600,-7.3005
20700,-7.517
20800,-7.2015
20900,-8.624
21000,-8.661
21100,-8.0835
21200,-6.671
21300,-7.389
21400,-5.25
21500,-7.7595
21600,-5.774
21700,-5.391
21800,-6.3795
21900,-6.023
22000,-5.452
22100,-6.1485
22200,-5.6845
22300,-3.9895
22400,-5.0475
22500,-4.432
22600,-5.183
22700,-3.985
22800,-4.518
22900,-3.895
23000,-3.347
23100,-4.79
23200,-4.126
23300,-3.324
23400,-3.3715
23500,-3.434
23600,-2.228
23700,-2.9295
23800,-1.316
23900,-2.296
24000,-2.1815
24100,-2.012
24200,-2.416
24300,-1.4725
24400,-2.321
24500,-1.9445
24600,-2.538
24700,-2.1785
24800,-3.063
24900,-1.853
25000,-1.827
25100,-1.9535
25200,-1.807
25300,-1.562
25400,-1.691
25500,-1.1985
25600,-2.0935
25700,-1.2965
25800,-1.2655
25900,-0.7415
26000,-0.926
26100,-1.1185
26200,-1.6305
26300,-1.1975
26400,-1.2175
26500,-1.2085
26600,-1.147
26700,-1.0895
26800,-1.781
26900,-1.054
27000,-0.8355
27100,-0.94
27200,-1.488
27300,-1.2295
27400,-1.3735
27500,-1.1215
27600,-1.209
27700,-1.0795
27800,-1.0095
27900,-1.02
28000,-1.2295
28100,-1.122
28200,-1.151
28300,-1.1575
28400,-0.949
28500,-1.5615
28600,-1.2915
28700,-1.177
28800,-1.223
28900,-1.043
29000,-1.1865
29100,-1.1645
29200,-1.0985
29300,-1.3515
29400,-1.2975
29500,-1.163
29600,-1.4315
29700,-1.0345
29800,-0.9025
29900,-1.2945
